date,crypto,forecast_price,model
2022-03-19,BNB,391.78732,LSTM
2022-03-20,BNB,392.10226,LSTM
2022-03-21,BNB,392.39697,LSTM
2022-03-22,BNB,392.64218,LSTM
2022-03-23,BNB,392.8791,LSTM
2022-03-24,BNB,393.1125,LSTM
2022-03-25,BNB,393.31177,LSTM
2022-03-26,BNB,393.47247,LSTM
2022-03-27,BNB,393.66254,LSTM
2022-03-28,BNB,393.83698,LSTM
2022-03-29,BNB,394.0006,LSTM
2022-03-30,BNB,394.18304,LSTM
2022-03-31,BNB,394.35767,LSTM
2022-04-01,BNB,394.50708,LSTM
2022-04-02,BNB,394.70792,LSTM
2022-04-03,BNB,394.91873,LSTM
2022-04-04,BNB,395.11963,LSTM
2022-04-05,BNB,395.30176,LSTM
2022-03-07,BTC,41440.387,LSTM
2022-03-08,BTC,41660.727,LSTM
2022-03-09,BTC,41863.426,LSTM
2022-03-10,BTC,42047.062,LSTM
2022-03-11,BTC,42219.164,LSTM
2022-03-12,BTC,42384.176,LSTM
2022-03-13,BTC,42542.42,LSTM
2022-03-14,BTC,42695.582,LSTM
2022-03-15,BTC,42843.082,LSTM
2022-03-16,BTC,42985.188,LSTM
2022-03-17,BTC,43124.13,LSTM
2022-03-18,BTC,43260.16,LSTM
2022-03-19,BTC,43393.918,LSTM
2022-03-20,BTC,43527.867,LSTM
2022-03-21,BTC,43657.125,LSTM
2022-03-22,BTC,43777.39,LSTM
2022-03-23,BTC,43894.36,LSTM
2022-03-24,BTC,44008.816,LSTM
2022-03-25,BTC,44117.51,LSTM
2022-03-26,BTC,44221.24,LSTM
2022-03-27,BTC,44324.39,LSTM
2022-03-28,BTC,44422.676,LSTM
2022-03-29,BTC,44519.75,LSTM
2022-03-30,BTC,44615.008,LSTM
2022-03-31,BTC,44706.617,LSTM
2022-04-01,BTC,44792.53,LSTM
2022-04-02,BTC,44885.188,LSTM
2022-04-03,BTC,44975.613,LSTM
2022-04-04,BTC,45061.316,LSTM
2022-04-05,BTC,45141.133,LSTM
2022-03-07,DOGE,0.12493164,LSTM
2022-03-08,DOGE,0.124480456,LSTM
2022-03-09,DOGE,0.12404197,LSTM
2022-03-10,DOGE,0.123602256,LSTM
2022-03-11,DOGE,0.12317904,LSTM
2022-03-12,DOGE,0.122782245,LSTM
2022-03-13,DOGE,0.12237881,LSTM
2022-03-14,DOGE,0.12198812,LSTM
2022-03-15,DOGE,0.12159807,LSTM
2022-03-16,DOGE,0.121212676,LSTM
2022-03-17,DOGE,0.12084535,LSTM
2022-03-18,DOGE,0.12050323,LSTM
2022-03-19,DOGE,0.120170996,LSTM
2022-03-20,DOGE,0.11986393,LSTM
2022-03-21,DOGE,0.11956476,LSTM
2022-03-22,DOGE,0.11926142,LSTM
2022-03-23,DOGE,0.11897539,LSTM
2022-03-24,DOGE,0.11870862,LSTM
2022-03-25,DOGE,0.11844744,LSTM
2022-03-26,DOGE,0.11818609,LSTM
2022-03-27,DOGE,0.11794572,LSTM
2022-03-28,DOGE,0.11771193,LSTM
2022-03-29,DOGE,0.117484465,LSTM
2022-03-30,DOGE,0.117276646,LSTM
2022-03-31,DOGE,0.1170793,LSTM
2022-04-01,DOGE,0.11688393,LSTM
2022-04-02,DOGE,0.11671618,LSTM
2022-04-03,DOGE,0.11655554,LSTM
2022-04-04,DOGE,0.11639908,LSTM
2022-04-05,DOGE,0.11624342,LSTM
2022-03-07,DOT,20.402876,LSTM
2022-03-08,DOT,20.592413,LSTM
2022-03-09,DOT,20.80789,LSTM
2022-03-10,DOT,21.04121,LSTM
2022-03-11,DOT,21.290169,LSTM
2022-03-12,DOT,21.549854,LSTM
2022-03-13,DOT,21.816542,LSTM
2022-03-14,DOT,22.086573,LSTM
2022-03-15,DOT,22.358583,LSTM
2022-03-16,DOT,22.63148,LSTM
2022-03-17,DOT,22.907286,LSTM
2022-03-18,DOT,23.182772,LSTM
2022-03-19,DOT,23.457113,LSTM
2022-03-20,DOT,23.728134,LSTM
2022-03-21,DOT,23.996048,LSTM
2022-03-22,DOT,24.260988,LSTM
2022-03-23,DOT,24.520704,LSTM
2022-03-24,DOT,24.776999,LSTM
2022-03-25,DOT,25.031126,LSTM
2022-03-26,DOT,25.281118,LSTM
2022-03-27,DOT,25.527655,LSTM
2022-03-28,DOT,25.769796,LSTM
2022-03-29,DOT,26.007656,LSTM
2022-03-30,DOT,26.241953,LSTM
2022-03-31,DOT,26.471361,LSTM
2022-04-01,DOT,26.695004,LSTM
2022-04-02,DOT,26.913748,LSTM
2022-04-03,DOT,27.128826,LSTM
2022-04-04,DOT,27.339235,LSTM
2022-04-05,DOT,27.544525,LSTM
2022-03-07,ETH,2793.27,LSTM
2022-03-08,ETH,2794.6602,LSTM
2022-03-09,ETH,2796.6372,LSTM
2022-03-10,ETH,2798.832,LSTM
2022-03-11,ETH,2801.2048,LSTM
2022-03-12,ETH,2803.7607,LSTM
2022-03-13,ETH,2806.3542,LSTM
2022-03-14,ETH,2809.1128,LSTM
2022-03-15,ETH,2811.7134,LSTM
2022-03-16,ETH,2814.163,LSTM
2022-03-17,ETH,2816.6106,LSTM
2022-03-18,ETH,2819.0212,LSTM
2022-03-19,ETH,2821.4812,LSTM
2022-03-20,ETH,2824.1938,LSTM
2022-03-21,ETH,2826.8203,LSTM
2022-03-22,ETH,2829.1533,LSTM
